store_ID,day_of_week,nb_customers_on_day,open,promotion,school_holiday,state_holiday_0,state_holiday_a,state_holiday_b,state_holiday_c,year,month,day,sales
415,7,0,0,0,0,True,False,False,False,2015,3,1,0.0
27,7,0,0,0,0,True,False,False,False,2013,12,29,0.0
404,3,657,1,1,0,True,False,False,False,2014,3,19,6710.8564
683,2,862,1,0,0,True,False,False,False,2013,1,29,6722.2554
920,3,591,1,1,0,True,False,False,False,2014,3,19,5857.8633
758,4,569,1,0,0,True,False,False,False,2014,6,26,5229.724
563,1,321,1,1,0,True,False,False,False,2015,2,16,3837.657
930,6,1367,1,0,0,True,False,False,False,2014,11,22,7537.8145
756,4,0,0,1,0,False,True,False,False,2015,6,4,0.0
49,2,546,1,1,0,True,False,False,False,2015,1,13,7497.575
787,4,968,1,0,1,True,False,False,False,2015,7,23,8262.464
782,4,472,1,0,0,True,False,False,False,2013,9,19,3874.756
897,7,0,0,0,0,True,False,False,False,2014,4,20,0.0
933,1,965,1,0,0,True,False,False,False,2013,12,9,7473.981
218,2,804,1,0,1,True,False,False,False,2015,4,7,6051.77
554,3,499,1,1,1,True,False,False,False,2013,10,9,4690.6763
362,1,1337,1,1,1,True,False,False,False,2013,8,12,12903.32
655,3,560,1,0,0,True,False,False,False,2014,4,9,5085.746
785,3,461,1,0,1,True,False,False,False,2014,12,31,3856.071
690,3,866,1,1,0,True,False,False,False,2014,3,19,8166.2476
1103,7,0,0,0,0,True,False,False,False,2015,2,15,0.0
431,1,1367,1,1,0,True,False,False,False,2014,6,2,14326.788
127,2,642,1,1,0,True,False,False,False,2013,9,24,6396.036
579,5,0,0,1,1,False,False,True,False,2013,3,29,0.0
248,6,1139,1,0,0,True,False,False,False,2013,8,3,8223.581
962,6,0,0,0,0,True,False,False,False,2014,1,11,0.0
224,2,515,1,1,1,True,False,False,False,2013,3,26,6610.511
208,3,355,1,1,1,True,False,False,False,2013,6,19,3048.7473
401,1,1063,1,1,0,True,False,False,False,2015,3,30,12642.324
503,7,0,0,0,0,True,False,False,False,2013,9,29,0.0
221,4,562,1,1,0,True,False,False,False,2015,3,5,5691.252
268,7,0,0,0,0,True,False,False,False,2014,11,2,0.0
799,2,927,1,1,1,True,False,False,False,2013,8,27,9489.079
260,6,894,1,0,0,True,False,False,False,2014,10,25,7410.7183
1041,2,594,1,0,0,True,False,False,False,2015,3,10,4558.5923
350,2,533,1,1,0,True,False,False,False,2013,6,18,6550.522
286,7,0,0,0,0,True,False,False,False,2015,4,5,0.0
620,2,709,1,1,0,True,False,False,False,2013,6,4,7098.4023
521,1,484,1,1,0,True,False,False,False,2013,6,17,5892.836
649,4,435,1,1,0,True,False,False,False,2014,11,27,4518.602
1059,2,1239,1,1,0,True,False,False,False,2015,6,2,11268.581
486,6,373,1,0,0,True,False,False,False,2014,6,28,3524.1396
252,4,642,1,0,0,True,False,False,False,2013,10,17,6276.9355
656,3,421,1,1,0,True,False,False,False,2013,5,15,4297.145
642,5,394,1,0,0,True,False,False,False,2014,9,12,3350.8884
655,5,761,1,1,0,True,False,False,False,2015,5,8,7546.599
992,3,627,1,0,0,True,False,False,False,2013,6,26,5076.5107
143,2,731,1,1,0,True,False,False,False,2015,6,2,8405.375
421,5,941,1,1,1,True,False,False,False,2014,7,18,7356.037
246,4,1157,1,1,0,True,False,False,False,2014,10,2,9669.381
960,1,720,1,1,0,True,False,False,False,2014,4,28,7588.8784
313,5,697,1,0,0,True,False,False,False,2014,1,17,6127.0234
291,6,534,1,0,0,True,False,False,False,2013,6,29,5111.896
924,6,333,1,0,0,True,False,False,False,2014,5,31,3240.1577
337,2,430,1,1,1,True,False,False,False,2013,8,13,4986.45
1024,4,607,1,0,0,True,False,False,False,2015,3,12,4855.6743
56,3,402,1,1,0,True,False,False,False,2014,1,22,5050.6533
507,3,532,1,0,0,True,False,False,False,2014,4,9,5457.7314
970,5,406,1,0,0,True,False,False,False,2013,3,15,3032.6494
846,2,828,1,0,0,True,False,False,False,2015,6,23,6800.151
549,3,582,1,0,0,True,False,False,False,2014,8,27,5026.237
1095,4,852,1,1,1,True,False,False,False,2013,3,28,8442.627
859,5,709,1,1,0,True,False,False,False,2013,4,12,6350.533
914,2,1178,1,1,1,True,False,False,False,2014,7,29,10522.209
888,2,634,1,0,0,True,False,False,False,2015,6,23,5617.1934
442,2,517,1,1,0,True,False,False,False,2014,11,4,5704.441
34,6,905,1,0,0,True,False,False,False,2013,3,9,8208.828
199,4,581,1,0,0,True,False,False,False,2014,7,10,5791.02
854,4,657,1,1,0,False,True,False,False,2015,6,4,6245.061
611,2,485,1,1,0,True,False,False,False,2014,1,21,6270.763
808,4,528,1,0,1,True,False,False,False,2015,4,9,5658.593
1105,4,410,1,0,0,True,False,False,False,2015,1,22,4275.769
866,5,445,1,0,0,True,False,False,False,2015,4,24,4570.439
222,6,367,1,0,0,True,False,False,False,2013,9,28,3057.8064
476,2,753,1,1,0,True,False,False,False,2013,9,24,7022.0947
800,1,494,1,0,0,True,False,False,False,2014,5,26,4563.125
330,1,408,1,0,0,True,False,False,False,2014,3,24,3700.2227
